pool_id,source_file,row_id,trial_key,citation_id,original_pmid,erratum_pmids,populated_cells
IDELALISIB_LEUKEMIA_AUTO_REVIEW,IDELALISIB_LEUKEMIA_AUTO_REVIEW.html,IDELALISIB_LEUKEMIA_AUTO_REVIEW:NCT04666038,NCT04666038,PMID40479620,40479620,40577663;40729625,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
IL23_PSA_REVIEW,IL23_PSA_REVIEW.html,IL23_PSA_REVIEW:NCT03162796,NCT03162796,PMID32178765,32178765,32203692,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
IL_PSORIASIS_NMA_REVIEW,IL_PSORIASIS_NMA_REVIEW.html,IL_PSORIASIS_NMA_REVIEW:NCT03370133,NCT03370133,PMID33549193,33549193,33610212,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INCRETINS_T2D_NMA_REVIEW,INCRETINS_T2D_NMA_REVIEW.html,INCRETINS_T2D_NMA_REVIEW:NCT03954834,NCT03954834,PMID34186022,34186022,34274062,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INCRETINS_T2D_NMA_REVIEW,INCRETINS_T2D_NMA_REVIEW.html,INCRETINS_T2D_NMA_REVIEW:NCT01624259,NCT01624259,PMID25018121,25018121,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INCRETINS_T2D_NMA_REVIEW,INCRETINS_T2D_NMA_REVIEW.html,INCRETINS_T2D_NMA_REVIEW:NCT02863419,NCT02863419,PMID31186120,31186120,31282364,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INCRETINS_T2D_NMA_REVIEW,INCRETINS_T2D_NMA_REVIEW.html,INCRETINS_T2D_NMA_REVIEW:NCT04537923,NCT04537923,PMID37786396,37786396,37883095;40136274,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INDACATEROL_COPD_AUTO_REVIEW,INDACATEROL_COPD_AUTO_REVIEW.html,INDACATEROL_COPD_AUTO_REVIEW:NCT01315249,NCT01315249,PMID24321804,24321804,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INDACATEROL_GLYCOPYR_COPD_AUTO_REVIEW,INDACATEROL_GLYCOPYR_COPD_AUTO_REVIEW.html,INDACATEROL_GLYCOPYR_COPD_AUTO_REVIEW:NCT01315249,NCT01315249,PMID24321804,24321804,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
INSULIN_ICODEC_REVIEW,INSULIN_ICODEC_REVIEW.html,INSULIN_ICODEC_REVIEW:NCT04770532,NCT04770532,PMID37148899,37148899,37263283,n_c;n_t;outcome;reported_n;trial_true_n
IV_IRON_HF_REVIEW,IV_IRON_HF_REVIEW.html,IV_IRON_HF_REVIEW:NCT02937454,NCT02937454,PMID33197395,33197395,34838177,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
JAKI_RA_NMA_REVIEW,JAKI_RA_NMA_REVIEW.html,JAKI_RA_NMA_REVIEW:NULLED:NCT00853385,NULLED:NCT00853385,PMID22873531,22873531,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
KARXT_SCZ_REVIEW,KARXT_SCZ_REVIEW.html,KARXT_SCZ_REVIEW:NCT04659161,NCT04659161,PMID38104575,38104575,38823993,n_c;n_t;outcome;reported_n;trial_true_n
KARXT_SCZ_REVIEW,KARXT_SCZ_REVIEW.html,KARXT_SCZ_REVIEW:NCT04738123,NCT04738123,PMID38691387,38691387,38958995,n_c;n_t;outcome;reported_n;trial_true_n
MARALIXIBAT_PFIC_REVIEW,MARALIXIBAT_PFIC_REVIEW.html,MARALIXIBAT_PFIC_REVIEW:NCT03905330,NCT03905330,PMID38723644,38723644,38870976,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
MAVACAMTEN_HCM_REVIEW,MAVACAMTEN_HCM_REVIEW.html,MAVACAMTEN_HCM_REVIEW:NCT03470545,NCT03470545,PMID32871100,32871100,32919516,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
METHADONE_OUD_AUTO_REVIEW,METHADONE_OUD_AUTO_REVIEW.html,METHADONE_OUD_AUTO_REVIEW:NCT04491968,NCT04491968,PMID38061786,38061786,38265794,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
METHYLNALTREXONE_OIC_AUTO_REVIEW,METHYLNALTREXONE_OIC_AUTO_REVIEW.html,METHYLNALTREXONE_OIC_AUTO_REVIEW:NCT01186770,NCT01186770,PMID33788162,33788162,33890230,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
MIRIKIZUMAB_UC_REVIEW,MIRIKIZUMAB_UC_REVIEW.html,MIRIKIZUMAB_UC_REVIEW:NCT03518086,NCT03518086,PMID37379135,37379135,37611136,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
MS_BTKI_REVIEW,MS_BTKI_REVIEW.html,MS_BTKI_REVIEW:NCT04338022,NCT04338022,PMID39307151,39307151,41864240,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
NETARSUDIL_GLAUCOMA_AUTO_REVIEW,NETARSUDIL_GLAUCOMA_AUTO_REVIEW.html,NETARSUDIL_GLAUCOMA_AUTO_REVIEW:NCT02057575,NCT02057575,PMID26209587,26209587,28319936,n_c;n_t;outcome;reported_n;trial_true_n
NETARSUDIL_OCULAR_HYPERTENSION_AUTO_REVIEW,NETARSUDIL_OCULAR_HYPERTENSION_AUTO_REVIEW.html,NETARSUDIL_OCULAR_HYPERTENSION_AUTO_REVIEW:NCT02057575,NCT02057575,PMID26209587,26209587,28319936,n_c;n_t;outcome;reported_n;trial_true_n
NIRSEVIMAB_INFANT_RSV_REVIEW,NIRSEVIMAB_INFANT_RSV_REVIEW.html,NIRSEVIMAB_INFANT_RSV_REVIEW:NULLED:NCT02878330,NULLED:NCT02878330,PMID32726528,32726528,32730699,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
OLANZAPINE_CINV_AUTO_REVIEW,OLANZAPINE_CINV_AUTO_REVIEW.html,OLANZAPINE_CINV_AUTO_REVIEW:NCT02755116,NCT02755116,PMID32229754,32229754,32516149,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
PACRITINIB_MF_AUTO_REVIEW,PACRITINIB_MF_AUTO_REVIEW.html,PACRITINIB_MF_AUTO_REVIEW:NCT04884191,NCT04884191,PMID34551507,34551507,38562076,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
PARP_ARPI_MCRPC_REVIEW,PARP_ARPI_MCRPC_REVIEW.html,PARP_ARPI_MCRPC_REVIEW:NCT03732820,NCT03732820,PMID37714168,37714168,38697163,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
