file,key,name,demographics,eligibility,safety_ae,score_3
GLP1_CVOT_REVIEW.html,NCT01179048,LEADER,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01720446,SUSTAIN-6,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01144338,EXSCEL,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT02465515,HARMONY Outcomes,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01394952,REWIND,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT02692716,PIONEER 6,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03574597,SELECT,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03496298,AMPLITUDE-O,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03914326,SOUL,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01147250,ELIXA,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01179048,LEADER,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01720446,SUSTAIN-6,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01144338,EXSCEL,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT02465515,Harmony,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01394952,REWIND,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03496298,AMPLITUDE-O,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT02692716,PIONEER-6,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03914728,SOUL,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT03574597,SELECT,N,N,N,0
GLP1_MASH_NMA_REVIEW.html,NCT04822181,ESSENCE,N,N,N,0
GLP1_MASH_NMA_REVIEW.html,NCT04166773,SYNERGY-NASH,N,N,N,0
GLP1_MASH_NMA_REVIEW.html,NCT02970942,Newsome NAFLD,N,N,N,0
HCC_1L_NMA_REVIEW.html,NCT03434379,IMbrave150,N,N,N,0
HCC_1L_NMA_REVIEW.html,NCT03298451,HIMALAYA,N,N,N,0
HCC_1L_NMA_REVIEW.html,NCT04039607,CheckMate 9DW,N,N,N,0
HCC_1L_NMA_REVIEW.html,NCT03713593,LEAP-002,N,N,N,0
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940341,"GS-US-320-0108 (TAF vs TDF, HBeAg-negati",N,N,N,0
