file,name,n,age,pct_female,followup
FRAGILITY_FRACTURE_REVIEW.html,FREEDOM,7808,,,
GLP1_CVOT_NMA_REVIEW.html,LEADER,9340,,,
GLP1_CVOT_NMA_REVIEW.html,SUSTAIN-6,3297,,,
GLP1_CVOT_NMA_REVIEW.html,REWIND,9901,,,
GLP1_CVOT_NMA_REVIEW.html,PIONEER-6,3183,,,
GLP1_CVOT_NMA_REVIEW.html,ELIXA,6068,,,
GLP1_CVOT_NMA_REVIEW.html,HARMONY-Outcomes,9463,,,
GLP1_CVOT_NMA_REVIEW.html,EXSCEL,14752,,,
GLP1_CVOT_NMA_REVIEW.html,AMPLITUDE-O,4076,,,
GLP1_CVOT_REVIEW.html,ELIXA,6068,,,
GLP1_CVOT_REVIEW.html,LEADER,9340,,,
GLP1_CVOT_REVIEW.html,SUSTAIN-6,3297,,,
GLP1_CVOT_REVIEW.html,EXSCEL,14752,,,
GLP1_CVOT_REVIEW.html,HARMONY Outcomes,9463,,,
GLP1_CVOT_REVIEW.html,REWIND,9901,,,
GLP1_CVOT_REVIEW.html,PIONEER 6,3183,,,
GLP1_CVOT_REVIEW.html,SELECT,17604,,,
GLP1_CVOT_REVIEW.html,AMPLITUDE-O,4076,,,
GLP1_CVOT_REVIEW.html,SOUL,9650,,,
GLP1_MASH_REVIEW.html,ESSENCE,1067,,,
GLP1_MASH_REVIEW.html,SYNERGY-NASH,129,,,
GLP1_MASH_REVIEW.html,Newsome NAFLD,160,,,
HCC_1L_REVIEW.html,IMbrave150,501,,,
HCC_1L_REVIEW.html,HIMALAYA,782,,,
HCC_1L_REVIEW.html,CheckMate 9DW,668,,,
HCC_1L_REVIEW.html,LEAP-002,794,,,
HEMOPHILIA_GENE_THERAPY_REVIEW.html,GENEr8-1 (Ozelo 2022),246,,,11.3
HEMOPHILIA_GENE_THERAPY_REVIEW.html,HOPE-B (Pipe 2023),106,,,
HEMOPHILIA_GENE_THERAPY_REVIEW.html,"AFFINE (giroctocogene fitelparvovec, 2024)",157,,,12.0
HEPATITIS_B_TAF_TDF_REVIEW.html,"GS-US-320-0108 (TAF vs TDF, HBeAg-negative)",425,,,11.0
HEPATITIS_B_TAF_TDF_REVIEW.html,"GS-US-320-0110 (TAF vs TDF, HBeAg-positive)",873,,,24.0
HEPATITIS_HCV_DAA_REVIEW.html,ASTRAL-1,740,,,
HEPATITIS_HCV_DAA_REVIEW.html,ASTRAL-3,552,,,
HEPATITIS_HCV_DAA_REVIEW.html,EXPEDITION-1,146,,,
HER2_LOW_ADC_REVIEW.html,DESTINY-Breast04,557,,,
HER2_LOW_ADC_REVIEW.html,DESTINY-Breast06,866,,,
HER2_LOW_ADC_REVIEW.html,TROPiCS-02,543,,,
HER2_LOW_ADC_REVIEW.html,TROPION-Breast01,732,,,
HF_QUADRUPLE_NMA_REVIEW.html,DAPA-HF,4744,,,
HF_QUADRUPLE_NMA_REVIEW.html,EMPEROR-Reduced,3730,,,
HF_QUADRUPLE_NMA_REVIEW.html,DELIVER,6263,,,
HF_QUADRUPLE_NMA_REVIEW.html,EMPEROR-Preserved,5988,,,
HF_QUADRUPLE_NMA_REVIEW.html,PARADIGM-HF,8399,,,
HF_QUADRUPLE_NMA_REVIEW.html,FINEARTS-HF,6004,,,
HIDRADENITIS_SUPPURATIVA_REVIEW.html,PIONEER I (Kimball 2016),307,,,2.8
HIDRADENITIS_SUPPURATIVA_REVIEW.html,PIONEER II (Kimball 2016),326,,,2.8
HIDRADENITIS_SUPPURATIVA_REVIEW.html,BE HEARD I (Kimball 2024),431,,,3.7
HIFPH_CKD_ANEMIA_REVIEW.html,ASCEND-D,2964,,,
HIFPH_CKD_ANEMIA_REVIEW.html,ASCEND-ND,3872,,,
HIFPH_CKD_ANEMIA_REVIEW.html,PRO2TECT,3476,,,
HIFPH_CKD_ANEMIA_REVIEW.html,INNO2VATE,3923,,,
HIFPH_CKD_ANEMIA_REVIEW.html,HIMALAYAS,1043,,,
HIGH_EFFICACY_MS_REVIEW.html,OPERA-I,821,,,
HIGH_EFFICACY_MS_REVIEW.html,OPERA-II,835,,,
HIGH_EFFICACY_MS_REVIEW.html,ASCLEPIOS-I,946,,,
HIGH_EFFICACY_MS_REVIEW.html,ASCLEPIOS-II,955,,,
HIV_ART_FIRSTLINE_REVIEW.html,ADVANCE DTG/TAF,702,,,11.0
HIV_ART_FIRSTLINE_REVIEW.html,ADVANCE DTG/TDF,702,,,11.0
HIV_ART_TIMING_REVIEW.html,START (INSIGHT 2015),4685,,,
HIV_ART_TIMING_REVIEW.html,TEMPRANO (ANRS 12136),2073,,,
HIV_ART_TIMING_REVIEW.html,HPTN 052 (Cohen 2011/2016),1763,,,
HIV_LA_PREP_REVIEW.html,HPTN 083,4566,,,
HIV_LA_PREP_REVIEW.html,HPTN 084,3224,,,
HIV_LA_PREP_REVIEW.html,PURPOSE-1,4270,,,
HIV_LA_PREP_REVIEW.html,PURPOSE-2,3265,,,
HIV_PREP_INJECTABLE_REVIEW.html,HPTN 083,4566,,,
HIV_PREP_INJECTABLE_REVIEW.html,HPTN 084,3224,,,
HIV_PREP_INJECTABLE_REVIEW.html,DISCOVER (F/TAF vs F/TDF),5387,,,
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,SAPiT (Karim 2010+2011),642,,,
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,STRIDE / ACTG A5221 (Havlir 2011),806,,,
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,CAMELIA (Blanc 2011),661,,,
HPV_DOSE_REDUCTION_REVIEW.html,KEN-SHE bivalent,1516,,,18.0
HPV_DOSE_REDUCTION_REVIEW.html,KEN-SHE nonavalent,1518,,,18.0
HPV_DOSE_REDUCTION_REVIEW.html,DoRIS 1d-vs-3d bivalent,310,,,
HPV_VACCINE_SCHEDULES_REVIEW.html,PATRICIA Cervarix 3-dose,14666,,,34.9
HPV_VACCINE_SCHEDULES_REVIEW.html,FUTURE II Gardasil-4 3-dose,10565,,,
HPV_VACCINE_SCHEDULES_REVIEW.html,KEN SHE single-dose (Barnabas 2022),2251,,,18.0
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,ADRENAL (Venkatesh 2018),3658,,,
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,APROCCHSS (Annane 2018),1241,,,
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,HYPRESS (Keh 2016),380,,,
ICU_SEDATION_REVIEW.html,SPICE-III (Shehabi 2019),3904,,,
ICU_SEDATION_REVIEW.html,Strom 2010 no-sedation,113,,,
ICU_SEDATION_REVIEW.html,A2B Trial (Lewis 2025),1040,,,
IL23_PSA_REVIEW.html,KEEPsAKE-1,964,,,5.5
IL23_PSA_REVIEW.html,KEEPsAKE-2,444,,,5.5
IL23_PSA_REVIEW.html,DISCOVER-1,254,,,5.5
IL23_PSA_REVIEW.html,DISCOVER-2,492,,,5.5
IL23_PSORIASIS_REVIEW.html,VOYAGE 1,503,,,3.7
