file,key,claim_name,claim_year,pmid,verdict,claim_nct,pubmed_registered_ncts,match,pubmed_title,pubmed_year
EVT_BASILAR_REVIEW.html,NCT02737189,BAOCHE,2023,36239645,OK,NCT02737189,NCT02737189,YES,Trial of Thrombectomy 6 to 24 Hours after Stroke Due to Basilar-Artery Occlusion.,2022
EVT_BASILAR_REVIEW.html,NCT01717755,BASICS,2021,34010530,OK,NCT01717755,NCT01717755,YES,Endovascular Therapy for Stroke Due to Basilar-Artery Occlusion.,2021
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02142283,DAWN,2018,29129157,OK,NCT02142283,NCT02142283,YES,Thrombectomy 6 to 24 Hours after Stroke with a Mismatch between Deficit and Infarct.,2018
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02586415,DEFUSE 3,2018,29364767,OK,NCT02586415,NCT02586415,YES,Thrombectomy for Stroke at 6 to 16 Hours with Selection by Perfusion Imaging.,2018
EVT_EXTENDED_WINDOW_REVIEW.html,NCT03098355,MR CLEAN-LATE,2023,37003289,NO_DATABANK,NCT03098355,,,Endovascular treatment versus no endovascular treatment after 6-24 h in patients with ischaemic stro,2023
EVT_LARGECORE_REVIEW.html,NCT03702413,RESCUE-Japan LIMIT,2022,35138767,OK,NCT03702413,NCT03702413,YES,Endovascular Therapy for Acute Stroke with a Large Ischemic Region.,2022
EVT_LARGECORE_REVIEW.html,NCT04551664,ANGEL-ASPECT,2023,36762852,OK,NCT04551664,NCT04551664,YES,Trial of Endovascular Therapy for Acute Ischemic Stroke with Large Infarct.,2023
EVT_LARGECORE_REVIEW.html,NCT03876457,SELECT2,2023,36762865,OK,NCT03876457,NCT03876457,YES,Trial of Endovascular Thrombectomy for Large Ischemic Strokes.,2023
EVT_LARGECORE_REVIEW.html,NCT03094715,TENSION,2023,37837989,OK,NCT03094715,NCT03094715,YES,"Endovascular thrombectomy for acute ischaemic stroke with established large infarct: multicentre, op",2023
EVT_LARGECORE_REVIEW.html,NCT03805308,TESLA,2024,39374319,OK,NCT03805308,NCT03805308,YES,Thrombectomy for Stroke With Large Infarct on Noncontrast CT: The TESLA Randomized Clinical Trial.,2024
FARICIMAB_NAMD_REVIEW.html,NCT03823287,TENAYA,2022,35085502,OK,NCT03823287,"NCT03823287,NCT03823300",YES,"Efficacy, durability, and safety of intravitreal faricimab up to every 16 weeks for neovascular age-",2022
FARICIMAB_NAMD_REVIEW.html,NCT03823300,LUCERNE,2022,35085502,OK,NCT03823300,"NCT03823287,NCT03823300",YES,"Efficacy, durability, and safety of intravitreal faricimab up to every 16 weeks for neovascular age-",2022
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02682927,Study 1 (Dravet),2019,31862249,OK,NCT02682927,"NCT02682927,NCT02826863",YES,"Fenfluramine hydrochloride for the treatment of seizures in Dravet syndrome: a randomised, double-bl",2019
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02926898,Study 2 (Dravet+stiripentol),2020,31862249,NCT_MISMATCH,NCT02926898,"NCT02682927,NCT02826863",NO,"Fenfluramine hydrochloride for the treatment of seizures in Dravet syndrome: a randomised, double-bl",2019
FENFLURAMINE_SEIZURE_REVIEW.html,NCT03355209,LGS Study 1,2022,35499850,OK,NCT03355209,NCT03355209,YES,Efficacy and Safety of Fenfluramine for the Treatment of Seizures Associated With Lennox-Gastaut Syn,2022
FEZOLINETANT_VMS_REVIEW.html,NCT04003155,SKYLIGHT-1,2023,36924778,OK,NCT04003155,NCT04003155,YES,Fezolinetant for treatment of moderate-to-severe vasomotor symptoms associated with menopause (SKYLI,2023
FEZOLINETANT_VMS_REVIEW.html,NCT04003142,SKYLIGHT-2,2023,36734148,NO_DATABANK,NCT04003142,,,Efficacy and Safety of Fezolinetant in Moderate to Severe Vasomotor Symptoms Associated With Menopau,2023
FINERENONE_REVIEW.html,NCT02540993,FIDELIO-DKD,2020,33264825,OK,NCT02540993,NCT02540993,YES,Effect of Finerenone on Chronic Kidney Disease Outcomes in Type 2 Diabetes.,2020
FINERENONE_REVIEW.html,NCT02545049,FIGARO-DKD,2021,34775784,OK,NCT02545049,NCT02545049,YES,Finerenone Reduces Risk of Incident Heart Failure in Patients With Chronic Kidney Disease and Type 2,2022
FINERENONE_REVIEW.html,NCT04435626,FINEARTS-HF,2024,39225278,OK,NCT04435626,NCT04435626,YES,Finerenone in Heart Failure with Mildly Reduced or Preserved Ejection Fraction.,2024
FINERENONE_REVIEW.html,NCT01874431,ARTS-DN,2015,27230798,NO_DATABANK,NCT01874431,,,The next generation of therapeutics for chronic kidney disease.,2016
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01631214,ARCH,2017,28892457,OK,NCT01631214,NCT01631214,YES,Romosozumab or Alendronate for Fracture Prevention in Women with Osteoporosis.,2017
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01575834,FRAME,2016,27641143,OK,NCT01575834,NCT01575834,YES,Romosozumab Treatment in Postmenopausal Women with Osteoporosis.,2016
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00321620,ACTIVE,2017,29028063,NO_DATABANK,NCT00321620,,,"Particle formation and growth from oxalic acid, methanesulfonic acid, trimethylamine and water: a co",2017
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00089791,FREEDOM,2009,19671655,OK,NCT00089791,NCT00089791,YES,Denosumab for prevention of fractures in postmenopausal women with osteoporosis.,2009
FRAGILITY_FRACTURE_NMA_REVIEW.html,LEGACY-VERT-1999,VERT,2001,11346808,ISRCTN_KEY,,,,Effect of parathyroid hormone (1-34) on fractures and bone mineral density in postmenopausal women w,2001
GLP1_CVOT_NMA_REVIEW.html,NCT01179048,LEADER,2016,27295427,OK,NCT01179048,NCT01179048,YES,Liraglutide and Cardiovascular Outcomes in Type 2 Diabetes.,2016
