file,nct,name,our_hr,aact_param_type,aact_value,aact_lci,aact_uci,aact_method,verdict,notes
ARPI_mHSPC_REVIEW.html,NCT02489318,TITAN,0.65,Hazard Ratio (HR),0.484,0.391,0.6,Log Rank,OK,
ARPI_mHSPC_REVIEW.html,NCT02799602,ARASENS,0.68,Hazard Ratio (HR),0.675,0.568,0.801,Log Rank,OK,
ARPI_mHSPC_REVIEW.html,NCT01715285,LATITUDE,0.66,Hazard Ratio (HR),0.466,0.394,0.55,Log Rank,OK,
ARPI_NMCRPC_REVIEW.html,NCT01946204,SPARTAN,0.28,Hazard Ratio (HR),0.28,0.227,0.346,Log Rank,OK,
ARPI_NMCRPC_REVIEW.html,NCT02003924,PROSPER,0.29,Hazard Ratio (HR),0.292,0.241,0.352,Log Rank,OK,
ARPI_NMCRPC_REVIEW.html,NCT02200614,ARAMIS,0.41,Hazard Ratio (HR),0.413,0.341,0.5,Log Rank,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT02277743,SOLO-1-Dupi,6.4,difference in percentages,27.7,20.18,35.17,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT03131648,ECZTRA-1,2.28,Risk Difference (RD),8.6,4.1,13.1,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT04146363,ADvocate1,7.4,Risk Difference (RD),29.7,21.6,37.8,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT03985943,ARCADIA-1,3.45,Strata-adjusted percentage difference,11.5,4.7,18.3,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT03349060,JADE-MONO-1,13.94,Difference in Percentage,15.8,6.8,24.8,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT03569293,MeasureUp-1,11.74,Adjusted Response Rate Difference,63.4,57.1,69.8,Cochran-Mantel-Haenszel,OK,
ATOPIC_DERM_NMA_REVIEW.html,NCT03334396,BREEZE-AD1,3.34,Odds Ratio (OR),2.61,1.17,5.84,"Regression, Logistic",OK,
ATTR_CM_NMA_REVIEW.html,NCT01994889,ATTR-ACT,0.7,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ATTR_CM_NMA_REVIEW.html,NCT04153149,HELIOS-B,0.71,Hazard Ratio (HR),0.718,0.555,0.929,Modified Andersen-Gill Model,OK,
ATTR_CM_NMA_REVIEW.html,NCT03860935,ATTRibute-CM,0.81,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ATTR_PN_NMA_REVIEW.html,NCT01960348,APOLLO,-34.0,Least Squares Mean Difference,-33.99,-39.86,-28.13,Mixed-effect Model Repeated Measures,OK,
ATTR_PN_NMA_REVIEW.html,NCT03759379,HELIOS-A,-17.0,LS Mean Difference,-17.0,-21.78,-12.22,ANCOVA with Multiple Imputation,OK,
ATTR_PN_NMA_REVIEW.html,NCT04136184,NEURO-TTRansform,-14.83,Difference in LS Mean,-24.7593,-30.9552,-18.5635,MMRM,OK,
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02047981,MORDOR-I,0.86,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,MORDOR-II,0.87,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT04224987,AVENIR,0.86,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
BELIMUMAB_SLE_REVIEW.html,NCT00424476,BLISS-52,1.32,Odds Ratio (OR),1.83,1.3,2.59,"Regression, Logistic",OK,
BELIMUMAB_SLE_REVIEW.html,NCT00410384,BLISS-76,1.28,Odds Ratio (OR),1.54,1.08,2.19,"Regression, Logistic",OK,
BELIMUMAB_SLE_REVIEW.html,NCT01484496,BLISS-SC,1.27,Odds Ratio (OR),1.68,1.25,2.25,"Regression, Logistic",OK,
BELIMUMAB_SLE_REVIEW.html,NCT01639339,BLISS-LN,1.34,Odds Ratio (OR),1.55,1.04,2.32,"Regression, Logistic",OK,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03370133,BE-VIVID,17.62,Odds Ratio (OR),99.869,34.02,293.175,Cochran-Mantel-Haenszel,DEFECT,"MAGNITUDE_DIFFER(our=17.62,aact=99.87)"
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03410992,BE-READY,67.27,Odds Ratio (OR),496.318,82.798,2975.086,Cochran-Mantel-Haenszel,DEFECT,"MAGNITUDE_DIFFER(our=67.27,aact=496.32)"
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,BE-SURE,1.83,Risk Difference (RD),39.3,30.9,47.7,,OK,
BIOLOGIC_ASTHMA_REVIEW.html,NCT01691521,MENSA,0.53,Rate Ratio,0.53,0.4,0.72,Negative binomial model,OK,
BIOLOGIC_ASTHMA_REVIEW.html,NCT01914757,CALIMA,0.72,Rate Ratio,0.64,0.49,0.85,Negative Binomial,OK,
BIOLOGIC_ASTHMA_REVIEW.html,NCT02414854,QUEST,0.52,Relative risk,0.54,0.43,0.68,Negative binomial regression model,OK,
BIOLOGIC_ASTHMA_REVIEW.html,NCT03347279,NAVIGATOR,0.44,Rate Ratio,0.44,0.37,0.53,Negative Binomial,OK,
BPAL_MDRTB_REVIEW.html,NCT02589782,TB-PRACTECAL,1.68,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
BPAL_MDRTB_REVIEW.html,NCT02409290,STREAM-2,1.17,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
BPAL_MDRTB_REVIEW.html,NCT02754765,endTB-MDR,1.1,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
BTKI_CLL_NMA_REVIEW.html,NCT02475681,ELEVATE-TN,0.21,Hazard Ratio (HR),0.1,0.06,0.17,Log Rank,DEFECT,"MAGNITUDE_DIFFER(our=0.21,aact=0.10)"
BTKI_CLL_NMA_REVIEW.html,NCT02477696,ELEVATE-RR,1.0,Hazard Ratio (HR),1.0,0.79,1.27,,OK,
BTKI_CLL_NMA_REVIEW.html,NCT03734016,ALPINE,0.65,Response ratio,1.12,1.04,1.22,Stratified Wald test,DEFECT,"SIGN_DIFFER(our=0.65,aact=1.12)"
BTKI_CLL_NMA_REVIEW.html,NCT01722487,RESONATE-2,0.146,Hazard Ratio (HR),0.16,0.09,0.28,Log Rank,OK,
BTKI_CLL_NMA_REVIEW.html,NCT03336333,SEQUOIA,0.42,Hazard Ratio (HR),0.42,0.28,0.63,Log Rank,OK,
BTKI_CLL_NMA_REVIEW.html,NCT01578707,RESONATE,0.135,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
BTKI_CLL_NMA_REVIEW.html,NCT02970318,ASCEND,0.28,Hazard Ratio (HR),0.31,0.2,0.49,Log Rank,OK,
